psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
12.788271,7.339097,100.643539,1.000000,0.000000,0.000000,0.000000,5.642496,-8.261969,18.347422,-0.996407,0.061335,0.058404,-0.000716
12.375093,7.394923,100.163422,1.000000,0.000000,0.000000,0.000000,5.111532,-7.596041,17.405285,-0.997270,0.052520,0.051862,-0.001949
11.889839,7.385143,99.545563,1.000000,0.000000,0.000000,0.000000,4.630658,-7.014375,16.513136,-0.997853,0.045720,0.046842,-0.002322
11.167561,7.251204,97.865944,1.000000,0.000000,0.000000,0.000000,4.168141,-6.427422,15.553914,-0.998305,0.040370,0.041866,-0.002167
10.723661,7.182033,97.258392,1.000000,0.000000,0.000000,0.000000,3.676338,-5.737794,14.379890,-0.998746,0.036083,0.034637,-0.002303
10.152093,6.934448,95.912292,1.000000,0.000000,0.000000,0.000000,3.281261,-5.113966,13.250364,-0.999134,0.031695,0.026797,-0.002938
9.719852,6.656206,94.947746,1.000000,0.000000,0.000000,0.000000,2.939342,-4.519593,12.068177,-0.999523,0.024018,0.019121,-0.003475
9.368614,6.346574,94.218292,1.000000,0.000000,0.000000,0.000000,2.577044,-3.840911,10.692108,-0.999805,0.015053,0.012321,-0.003345
8.966299,5.913422,92.835190,1.000000,0.000000,0.000000,0.000000,2.286578,-3.187448,9.414222,-0.999916,0.010027,0.007793,-0.002665
8.623932,5.487763,91.447006,1.000000,0.000000,0.000000,0.000000,2.029219,-2.504938,8.110283,-0.999959,0.007618,0.004614,-0.001603
8.367558,5.139922,90.521210,1.000000,0.000000,0.000000,0.000000,1.795921,-1.711156,6.581992,-0.999973,0.007205,0.000317,-0.001346
7.897656,4.558118,87.745377,1.000000,0.000000,0.000000,0.000000,1.652873,-0.990578,5.181926,-0.999947,0.008030,-0.006212,-0.001738
7.616444,4.094715,85.959908,1.000000,0.000000,0.000000,0.000000,1.547818,-0.288054,3.778287,-0.999887,0.007597,-0.012760,-0.002251
7.514459,3.741429,85.577034,1.000000,0.000000,0.000000,0.000000,1.414221,0.494870,2.219992,-0.999843,0.005383,-0.016692,-0.002471
7.209207,3.148530,83.307976,1.000000,0.000000,0.000000,0.000000,1.266452,1.199812,0.823601,-0.999846,0.003518,-0.017035,-0.002450
7.092111,2.825371,82.713249,1.000000,0.000000,0.000000,0.000000,1.138664,1.914653,-0.586595,-0.999826,0.002847,-0.018237,-0.002785
